,Nama,Sandi bank,Tanggal didirikan,Jenis bank,Pengendali,,
72,Bank of India Indonesia,146,28 September 1968,Konvensional,Swasta (asing),Devisa,Bank of India
73,Bank Oke Indonesia,526,15 Agustus 1990,Konvensional,Swasta (asing),Nondevisa,Rush & Cash
74,Bank Panin,019,17 Agustus 1971,Konvensional,Swasta (lokal),Devisa,Panin Financial
75,Bank Panin Dubai Syariah,517,8 Januari 1972[18],Syariah,Swasta (lokal),Devisa,"Panin Bank, Dubai Islamic Bank"
76,Bank Papua,132,13 April 1966,Konvensional,BPD,Nondevisa,Pemerintah daerah di Papua dan Papua Barat
77,Bank Prima Master,520,1 November 1989,Konvensional,Swasta (lokal),Nondevisa,"PT Hartamas Lestari, PT Multi Artacipta Serasi"
78,Bank Permata,013,17 Desember 1954[19],Konvensional,Swasta (asing),Devisa,Bangkok Bank[20]
79,Bank QNB Indonesia,167,28 April 1913[18],Konvensional,Swasta (asing),Devisa,QNB Group
80,Bank Rakyat Indonesia,002,16 Desember 1895,Konvensional,BUMN,Devisa,Pemerintah Republik Indonesia
81,Bank Raya Indonesia,494,27 September 1989,Konvensional,Swasta (lokal),Devisa,Bank Rakyat Indonesia
82,Bank Resona Perdania,047,31 Desember 1953,Konvensional,Swasta (asing),Devisa,Resona Holdings
83,Bank Riau Kepri,119,15 Agustus 1961,Konvensional,BPD,Devisa,Pemerintah daerah di Riau dan Kepulauan Riau
84,Bank Sahabat Sampoerna,523,27 September 1990[13],Konvensional,Swasta (lokal),Nondevisa,Sampoerna Strategic Group
85,Bank SBI Indonesia,498,21 Oktober 1970,Konvensional,Swasta (asing),Devisa,State Bank of India
86,Bank Seabank Indonesia,535,4 Oktober 1991,Konvensional,Swasta (asing),Nondevisa,Sea Limited
87,Bank Shinhan Indonesia,152,8 September 1967[10],Konvensional,Swasta (asing),Devisa,Shinhan Financial Group
88,Bank Sinarmas,153,18 Agustus 1989,Konvensional,Swasta (lokal),Devisa,Sinar Mas Multiartha
89,Bank Sulselbar,126,13 Januari 1961,Konvensional,BPD,Devisa,Pemerintah daerah di Sulawesi Selatan dan Sulawesi Barat
90,Bank Sulteng,134,1 April 1969,Konvensional,BPD,Nondevisa,Pemerintah daerah di Sulawesi Tengah
91,Bank Sultra,135,2 Maret 1968,Konvensional,BPD,Nondevisa,Pemerintah daerah di Sulawesi Tenggara
92,Bank Sumsel Babel,120,6 November 1957,Konvensional,BPD,Devisa,Pemerintah daerah di Sumatra Selatan dan Kepulauan Bangka Belitung
93,Bank Sumut,117,4 November 1961,Konvensional,BPD,Devisa,Pemerintah daerah di Sumatra Utara
94,Bank Syariah Indonesia,451,3 April 1969,Syariah,Swasta (lokal),Devisa,"Bank Mandiri, Bank Rakyat Indonesia, dan Bank Negara Indonesia"
95,Bank Tabungan Negara,200,16 Oktober 1897[21],Konvensional,BUMN,Devisa,Pemerintah Republik Indonesia
96,Bank UOB Indonesia,023,31 Agustus 1956,Konvensional,Swasta (asing),Devisa,United Overseas Bank
97,Bank Victoria Internasional,566,28 Oktober 1992,Konvensional,Swasta (lokal),Devisa,Victoria Investama[22]
98,Bank Victoria Syariah,405,15 April 1966,Syariah,Swasta (lokal),Nondevisa,Bank Victoria Internasional
99,Bank Woori Saudara,212,18 April 1906[23],Konvensional,Swasta (asing),Devisa,Woori Bank
